,original_text,cleaned_text,lang
2693,Liverpool fans unfairly blamed for Champions League chaos: French inquiry https://t.co/XkNB4HWFIy,Liverpool fans unfairly blamed for Champions League chaos: French inquiry ,fr
2707,UK: Rishi Sunak leads first round of voting to replace Boris Johnson https://t.co/YE9bC8BufB - source/editor :,UK: Rishi Sunak leads first round of voting to replace Boris Johnson  - source/editor :,kiny
2731,Encore #Une femme #MUNYAMULENGE (N.Bihogazi) Vienne d’être tuée par FARDC ds son domicile. Ns #condamnons la continuté de massacre Contre #Banyamulenge @LumumbaGustave @Mabuye_1 @Muyumba @FARDC_off @hrw @patrickzego @MugeyoNdayi @PMunyamulenge @GouvSudkivu @MuyeheEmile https://t.co/1HsrdQPLlM,Encore  femme  (N.Bihogazi) Vienne d’être tuée par FARDC ds son domicile. Ns  la continuté de massacre Contre            ,kiny
2737,Gazprom will not guarantee functioning of Nord Stream pipeline https://t.co/2hXWNZE4Hg - source/editor :,Gazprom will not guarantee functioning of Nord Stream pipeline  - source/editor :,fr
2807,Sabina Loriga et Jacques Revel - Une histoire inquiète - Les historiens et le tournant linguistique à paraître en octobre https://t.co/XvhMTzN1Ef,Sabina Loriga et Jacques Revel - Une histoire inquiète - Les historiens et le tournant linguistique à paraître en octobre ,fr
2817,"＼ご予約受付中！／
7/16発売予定
ステラワースオリジナルグッズ

蝶の毒 華の鎖
・新作商品
・完売商品リニューアル＆復刻商品

https://t.co/86Td9wqPmx https://t.co/hozAkVZDWK","＼ご予約受付中！／
7/16発売予定
ステラワースオリジナルグッズ

蝶の毒 華の鎖
・新作商品
・完売商品リニューアル＆復刻商品

 ",fr
2879,"Anvisa libera Coronavac para crianças de 3 a 5 anos
https://t.co/TVmbPfNaKh
 ""Imunizante é o primeiro contra o coronavírus autorizado para esta faixa etária no Brasil.""","Anvisa libera Coronavac para crianças de 3 a 5 anos

 ""Imunizante é o primeiro contra o coronavírus autorizado para esta faixa etária no Brasil.""",fr
2886,EU says Russia can transit sanctioned goods to Kaliningrad by rail https://t.co/nUDedqiOd1 - source/editor :,EU says Russia can transit sanctioned goods to Kaliningrad by rail  - source/editor :,kiny
2887,"Puros clásicos...

#RDF🐅 https://t.co/wWxIKdIsPF","Puros clásicos...

🐅 ",kiny
2901,A coreografia foi o Kiel que fez kkkkkkk cadê os defensores dessa bomba agora??? https://t.co/tpsyF1BJk2,A coreografia foi o Kiel que fez kkkkkkk cadê os defensores dessa bomba agora??? ,fr
2928,"@gatarimorris Nous avons 450 ethnies dans lesquels l’ethnie M23 n’existe pas.
Puisque vous êtes terroriste et vous trouvez normal qu’ils tuent les civils et les forces à quitter leur maisons, vous devez trouvez normal que les FDLR viennent réclamer leurs terres au Rwanda.
La facture arrive","Nous avons 450 ethnies dans lesquels l’ethnie M23 n’existe pas.
Puisque vous êtes terroriste et vous trouvez normal qu’ils tuent les civils et les forces à quitter leur maisons, vous devez trouvez normal que les FDLR viennent réclamer leurs terres au Rwanda.
La facture arrive",fr
2971,rdf https://t.co/oMkKXCC57f,rdf ,fr
2981,"1’ KICK OFF!

UND | 0 - 0 | RDF","1’ KICK OFF!

UND | 0 - 0 | RDF",fr
2984,"Easy option would have been a CAPS deployment over the water, that's what I would have done in a real version of this.","Easy option would have been a CAPS deployment over the water, that's what I would have done in a real version of this.",fr
2987,"📰 Novo RDF 1/0 na câmara dos deputados, de autoria do ADRIANA MIGUEL VENTURA: Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura de Paulínia para executar serviço de radiodifusão comunitária no Município de Paulínia, Estado de Sã...","📰 Novo RDF 1/0 na câmara dos deputados, de autoria do ADRIANA MIGUEL VENTURA: Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura de Paulínia para executar serviço de radiodifusão comunitária no Município de Paulínia, Estado de Sã...",kiny
2993,"🏆 RACE RESULT! 🏆

'RDF 9923-3396 Foal 2' out of SecretariYat Stables has just won the 🪙 10,000 Robin Hood Club Stakes, covering 10 furlongs on the Dirt in 2:02.105!

🏇 View the entire race replay: https://t.co/9MJ8jp4Lbs","🏆 RACE RESULT! 🏆

'RDF 9923-3396 Foal 2' out of SecretariYat Stables has just won the 🪙 10,000 Robin Hood Club Stakes, covering 10 furlongs on the Dirt in 2:02.105!

🏇 View the entire race replay: ",fr
3014,"58’ GOAL!

@AVFC_JJC what a run! He finishes if off with a sublime finish!

UND | 1 - 1 | RDF","58’ GOAL!

 what a run! He finishes if off with a sublime finish!

UND | 1 - 1 | RDF",fr
3020,Génocide au Rwanda : vers d'autres condamnations ? https://t.co/9cC34EDK19 #DeutscheWelle #Rwanda,Génocide au Rwanda : vers d'autres condamnations ?   ,fr
3034,US slams Russia's 'forced deportations' in Ukraine — live updates https://t.co/ZDhsR9Z2H5 - source/editor :,US slams Russia's 'forced deportations' in Ukraine — live updates  - source/editor :,fr
3075,"1) Treacherous assassin Gen James Kabarebe who was sidelined by criminal Paul Kagame in 2018, his now back as the overall coordinator of M23 Rebel Movement. https://t.co/Dz1HWz58rp","1) Treacherous assassin Gen James Kabarebe who was sidelined by criminal Paul Kagame in 2018, his now back as the overall coordinator of M23 Rebel Movement. ",fr
3536,"Encompassing the production of SRF (Solid Recovered Fuel) and RDF (Refuse Derived Fuel) materials, a leading provider of sustainable waste resource management and commercial recycling solutions in  Yorkshire, enlisted a Lindner Atlas 5500AS at the beginni…https://t.co/l4ZL27iJsq","Encompassing the production of SRF (Solid Recovered Fuel) and RDF (Refuse Derived Fuel) materials, a leading provider of sustainable waste resource management and commercial recycling solutions in  Yorkshire, enlisted a Lindner Atlas 5500AS at the beginni…",fr
3590,"📣 #COVID19: l'AN rejette un article clé du projet de loi sanitaire

🗣@oliviermarleix : ""Le gouvernement a fait l’expérience concrète qu'il n'avait plus de majorité. L'heure oblige le gouvernement à écouter les opposions. Pour l’instant, il n'écoute pas, il est dans l’arrogance"" https://t.co/hcDboPsxMh","📣 : l'AN rejette un article clé du projet de loi sanitaire

🗣 : ""Le gouvernement a fait l’expérience concrète qu'il n'avait plus de majorité. L'heure oblige le gouvernement à écouter les opposions. Pour l’instant, il n'écoute pas, il est dans l’arrogance"" ",fr
3592,"Réaménagement au sein des FARDC et RDF, Kinshasa et Kigali s’apprêtent-ils pour la guerre ? https://t.co/8zyIn4Tv8d","Réaménagement au sein des FARDC et RDF, Kinshasa et Kigali s’apprêtent-ils pour la guerre ? ",kiny
3596,@END70 @visitrwanda_now #BrainLess Birere is not in Rwanda,  Birere is not in Rwanda,fr
3605,Ukraine hopes to increase grain exports through Danube — live updates https://t.co/3vO0kBjzrl - source/editor :,Ukraine hopes to increase grain exports through Danube — live updates  - source/editor :,fr
3607,"Pr reprendre du territoire, il faut lancer les offensives.
Or jusque là, les FARDC font que défendre les positions qu'elles détiennent contre les attaques RDF déguisés M23.
Il faut qu'il y ait l'envie de reconquête et les OFFENSIVES pr ce faire.
Que le nouveau commandement agisse https://t.co/ZkMnwolZUs","Pr reprendre du territoire, il faut lancer les offensives.
Or jusque là, les FARDC font que défendre les positions qu'elles détiennent contre les attaques RDF déguisés M23.
Il faut qu'il y ait l'envie de reconquête et les OFFENSIVES pr ce faire.
Que le nouveau commandement agisse ",fr
3627,"Why did one Ethiopian town produce so many athletic stars?
#123INFO
https://t.co/OQz3qBNxlN","Why did one Ethiopian town produce so many athletic stars?

",fr
3639,Ukraine struggles to get its wheat to the world https://t.co/MVE7BG7RY9 - source/editor :,Ukraine struggles to get its wheat to the world  - source/editor :,fr
3640,Bei seinem Scan-Dienst Virustotal hat Google eine veraltete exiftool-Version eingesetzt. Eine Sicherheitslücke ermöglichte Forschern den Einbruch in den Dienst. #Cybersicherheit #Security https://t.co/2S7kzIPJll,Bei seinem Scan-Dienst Virustotal hat Google eine veraltete exiftool-Version eingesetzt. Eine Sicherheitslücke ermöglichte Forschern den Einbruch in den Dienst.   ,fr
3646,Ukraine struggles to get its wheat to the world https://t.co/wfHDZKcyTO,Ukraine struggles to get its wheat to the world ,fr
3679,"@Johnblanshe_m - Clearly counter-offensive operations against #M23 have not yet started.
- One needs to observe UG moves around Bunagana: Open the border on your side -&gt; Rw = UG -&gt; Uganda Airlines license will be revoked &amp; DRC-UG trades MoUs stopped. 
#RwandaIsKiling","- Clearly counter-offensive operations against  have not yet started.
- One needs to observe UG moves around Bunagana: Open the border on your side -&gt; Rw = UG -&gt; Uganda Airlines license will be revoked &amp; DRC-UG trades MoUs stopped. 
",fr
3692,"Donald Trump incited Capitol rioters after 'unhinged' meeting, says House panel
#123INFO
https://t.co/EGdT6bgm5Z","Donald Trump incited Capitol rioters after 'unhinged' meeting, says House panel

",fr
3703,@ConorHogarty Removal of the ‘pause’ (paycut!) on increments will trigger follow-on claims from other PS workers under same conditions. As it should.,Removal of the ‘pause’ (paycut!) on increments will trigger follow-on claims from other PS workers under same conditions. As it should.,kiny
3736,"Nord Stream gas halt 'doesn't help Ukraine,' Slovene PM tells DW https://t.co/TsTq1krN2D","Nord Stream gas halt 'doesn't help Ukraine,' Slovene PM tells DW ",kiny
3742,Nigeria: Why presidential hopefuls are cut from the same cloth https://t.co/bvtiWUCC2c,Nigeria: Why presidential hopefuls are cut from the same cloth ,kiny
3796,#RDC : DEUX ARMES POUR SNIPERS RÉCUPÉRÉES DE MAINS DE #M23_RDF PARS LES #FARDC_OFF LORS DES AFFRONTEMENTS CE WEEK-END À #RUTSHURU AU #NORD_KIVU . CES DEUX FUSILS SONT UNE NOUVELLE PREUVE QUE L'ARMÉE RWANDAISE EST BIEN PRÉSENTE SUR LE SOL CONGOLAIS . https://t.co/iIkGjXCt9X,: DEUX ARMES POUR SNIPERS RÉCUPÉRÉES DE MAINS DE  PARS LES  LORS DES AFFRONTEMENTS CE WEEK-END À  AU  . CES DEUX FUSILS SONT UNE NOUVELLE PREUVE QUE L'ARMÉE RWANDAISE EST BIEN PRÉSENTE SUR LE SOL CONGOLAIS . ,fr
3930,@Conaw @RoamResearch @rcvd_io @hashbrown490 @baibhavbista This is very important and should be well communicated with users. They make choices that change the ratio page refs / block refs / levels and these choices need guidance to get the best experience and reduce performance degradation.,    This is very important and should be well communicated with users. They make choices that change the ratio page refs / block refs / levels and these choices need guidance to get the best experience and reduce performance degradation.,kiny
4160,"Practical RDF: Solving Problems with the Resource Description Framework [GUEFFHS]

https://t.co/tJrZyNsdoI","Practical RDF: Solving Problems with the Resource Description Framework [GUEFFHS]

",fr
5589,"Nord Stream gas halt 'doesn't help Ukraine at all,' Slovene PM tells DW https://t.co/MyXcsepXoO","Nord Stream gas halt 'doesn't help Ukraine at all,' Slovene PM tells DW ",fr
5601,Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde https://t.co/VN5d0ocoOz,Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde ,kiny
6285,"Cultura en #DW 🇩🇪 ""Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde ""https://t.co/ph430scJwm via @dw_espanol","Cultura en  🇩🇪 ""Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde "" via ",fr
7007,"Las reservas internacionales que tiene el país las pueden ver aquí. https://t.co/Glq4J6807G
A Junio teníamos U$57.164 millones. Vamos a ver eso en manos de Petro cuanto dura. (Pa ese man y su prole esas son peanuts)","Las reservas internacionales que tiene el país las pueden ver aquí. 
A Junio teníamos U$57.164 millones. Vamos a ver eso en manos de Petro cuanto dura. (Pa ese man y su prole esas son peanuts)",fr
7993,"Germany bolsters defenses against Russian cyber threats
#123INFO
https://t.co/o9lvNrcLII","Germany bolsters defenses against Russian cyber threats

",fr
8357,"#انترنت_غير_محدود_ف_مصر
#Unlimited_internet_in_egypt #اقالة_وزير_الاتصالات_عمرو_طلعت
#مقاطعة_وي

. rdf","#انترنت_غير_محدود_ف_مصر
 #اقالة_وزير_الاتصالات_عمرو_طلعت
#مقاطعة_وي

. rdf",kiny
8363,"📰 Novo RDF 1/0 na câmara dos deputados, de autoria do CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA: Parecer de Redação Final adotado pela CCJC ao PL 1440/ 2019.","📰 Novo RDF 1/0 na câmara dos deputados, de autoria do CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA: Parecer de Redação Final adotado pela CCJC ao PL 1440/ 2019.",fr
8368,"📰 Novo RDF 1/0 na câmara dos deputados, de autoria do JOÃO CAMPOS DE ARAÚJO: Aprova o ato que renova a autorização outorgada à Associação Artística e Cultural de Desenvolvimento do Setor Marista Sul para executar serviço de radiodifusão comunitária no Município de Aparecida d...","📰 Novo RDF 1/0 na câmara dos deputados, de autoria do JOÃO CAMPOS DE ARAÚJO: Aprova o ato que renova a autorização outorgada à Associação Artística e Cultural de Desenvolvimento do Setor Marista Sul para executar serviço de radiodifusão comunitária no Município de Aparecida d...",kiny
8435,"@END70 @KanyanaVanessa @DrMumbogoShyaka @Rugusuki @HarelimanaAK @FabRugumire @HeritierRW @IngabireIm @KalindaMwene Ngoyi, ici au Rwanda, nous n'avons pas besoin de formuler des manipulations. Mon pays est paisible, nous vous le souhaitons également.","        Ngoyi, ici au Rwanda, nous n'avons pas besoin de formuler des manipulations. Mon pays est paisible, nous vous le souhaitons également.",fr
8475,"@Emmanue45576862 @LeVraiPatriote_ @goma24news @StanysBujakera @kabumba_justin @kakese_leon @Bibishe6 @BenitaNtumba @CybelleKamba @Rugusuki @PatrickMuyaya Faux! Nous avons choisis la démocratie comme méthode de régler les comptes aux politiques, pas les armes.
Les politiques constituent un problème et le RDF-M23 constitue un autre problème.
Y a pas dialogue et vous n’allez pas intégrer les FARDC.","          Faux! Nous avons choisis la démocratie comme méthode de régler les comptes aux politiques, pas les armes.
Les politiques constituent un problème et le RDF-M23 constitue un autre problème.
Y a pas dialogue et vous n’allez pas intégrer les FARDC.",fr
8524,Ukraine warns Russia could step up Donetsk offensive — live updates https://t.co/lp9qDcVyhY,Ukraine warns Russia could step up Donetsk offensive — live updates ,fr
8527,"Erdogan talks grain exports with Putin, Zelenskyy https://t.co/OZEViefbLS","Erdogan talks grain exports with Putin, Zelenskyy ",fr
8560,@kayjoe66 @YabaNkosia @EtumesakoPapy @FTwagiramungu Vive le #M23  noyau de base de la future armée du RDC💪,   Vive le   noyau de base de la future armée du RDC💪,fr
8646,"Le Président Rwandais @PaulKagame a promu ses hommes de main dans l’armée. Le porte-parole de #RDF bombardé « général de brigade ». Le chef des renseignements, celui de la garde Républicaine et le « commandant des opérations spéciales » sont promus au grade de « Général Major ».","Le Président Rwandais  a promu ses hommes de main dans l’armée. Le porte-parole de  bombardé « général de brigade ». Le chef des renseignements, celui de la garde Républicaine et le « commandant des opérations spéciales » sont promus au grade de « Général Major ».",fr
9653,"NASA reveals James Webb Space Telescope's first image of cosmos
#123INFO
https://t.co/32ij7xiOoW","NASA reveals James Webb Space Telescope's first image of cosmos

",fr
10123,"Ciencia en #DW 🇩🇪 ""Sus amigos aprecian recibir mensajes suyos mucho más de lo que piensa, según plantea un estudio"" via @dw_espanol https://t.co/qmv48YPLoj","Ciencia en  🇩🇪 ""Sus amigos aprecian recibir mensajes suyos mucho más de lo que piensa, según plantea un estudio"" via  ",fr
10220,"Es prüfe wer sich bindet...

https://t.co/mNgRffhvmb","Es prüfe wer sich bindet...

",fr
10296,"The Secretary General of the International Organisation of Francophonie (OIF), Her Excellency Louise Mushikiwabo yesterday launched a French teaching program for RDF troops that will be deployed for peacekeeping missions in French speaking countries.
https://t.co/ESqFqTbp8R https://t.co/0RuOJZEu2i","The Secretary General of the International Organisation of Francophonie (OIF), Her Excellency Louise Mushikiwabo yesterday launched a French teaching program for RDF troops that will be deployed for peacekeeping missions in French speaking countries.
 ",fr
10344,Disney perderá pronto los derechos de autor del ratón Mickey original https://t.co/cnWNZcDtXZ,Disney perderá pronto los derechos de autor del ratón Mickey original ,fr
